epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,837.849,1.60268,0.96321,1.16489,0.7101,0.52065,0.58609,0.32207,1.85303,1.77521,1.79682,0.0670129,0.000333203,0.000333203
2,1610.22,1.5415,0.85651,1.1442,0.83282,0.732,0.81137,0.50127,1.37217,1.04351,1.45693,0.0340128,0.000666373,0.000666373
3,2441.99,1.49337,0.79762,1.11847,0.94164,0.80354,0.87688,0.58291,1.24888,0.78044,1.38693,0.00101194,0.000998893,0.000998893
4,3455.07,1.4426,0.74195,1.09358,0.89878,0.80596,0.88433,0.59138,1.21508,0.79402,1.36542,0.000997803,0.000997803,0.000997803
5,4214.5,1.40026,0.69835,1.07553,0.92829,0.8281,0.9022,0.63175,1.10341,0.69421,1.29817,0.000996097,0.000996097,0.000996097
6,4974.91,1.37274,0.6714,1.06255,0.93514,0.88285,0.92715,0.67376,1.00904,0.56975,1.22882,0.000993906,0.000993906,0.000993906
7,5733.92,1.34403,0.64829,1.05191,0.96962,0.88668,0.93678,0.69327,0.94644,0.56562,1.19914,0.000991232,0.000991232,0.000991232
8,6494.77,1.31804,0.62828,1.0414,0.95999,0.87279,0.93366,0.69248,0.96417,0.55116,1.18257,0.000988079,0.000988079,0.000988079
9,7253.22,1.30601,0.61833,1.03513,0.96872,0.9066,0.94016,0.70413,0.95222,0.52118,1.20264,0.000984449,0.000984449,0.000984449
10,8012.91,1.2899,0.60669,1.02822,0.96686,0.89291,0.94256,0.7235,0.92196,0.50842,1.19049,0.000980345,0.000980345,0.000980345
11,8776.74,1.26773,0.58708,1.01873,0.97443,0.90741,0.94481,0.72209,0.91291,0.49299,1.18519,0.000975773,0.000975773,0.000975773
12,9534.7,1.25781,0.57884,1.01719,0.95801,0.92271,0.95466,0.7419,0.8794,0.44915,1.15739,0.000970736,0.000970736,0.000970736
13,10292.4,1.24674,0.57334,1.01086,0.96368,0.91859,0.95629,0.74524,0.88997,0.43991,1.14623,0.000965239,0.000965239,0.000965239
14,11051.5,1.23058,0.56247,1.00544,0.97025,0.91915,0.95062,0.73672,0.88988,0.45915,1.15713,0.000959289,0.000959289,0.000959289
15,11810.1,1.2242,0.55689,1.00133,0.97959,0.92725,0.96179,0.76218,0.84135,0.41076,1.13477,0.000952889,0.000952889,0.000952889
16,12568.9,1.20336,0.54566,0.99541,0.97629,0.92826,0.96175,0.75594,0.84342,0.40008,1.13369,0.000946048,0.000946048,0.000946048
17,13326.9,1.18924,0.53549,0.99014,0.98604,0.92955,0.9672,0.77328,0.82087,0.4017,1.11151,0.000938772,0.000938772,0.000938772
18,14272.3,1.18135,0.53277,0.98701,0.97982,0.92955,0.96212,0.76259,0.82136,0.38478,1.11886,0.000931067,0.000931067,0.000931067
1,1106.21,1.60268,0.96321,1.16489,0.7101,0.52065,0.58609,0.32207,1.85303,1.77521,1.79682,0.0670129,0.000333203,0.000333203
2,1967.2,1.5415,0.85651,1.1442,0.83282,0.732,0.81137,0.50127,1.37217,1.04351,1.45693,0.0340128,0.000666373,0.000666373
3,3006.82,1.49337,0.79762,1.11847,0.94164,0.80354,0.87688,0.58291,1.24888,0.78044,1.38693,0.00101194,0.000998893,0.000998893
4,4088.89,1.4426,0.74195,1.09358,0.89878,0.80596,0.88433,0.59138,1.21508,0.79402,1.36542,0.000997803,0.000997803,0.000997803
5,4919.18,1.40026,0.69835,1.07553,0.92829,0.8281,0.9022,0.63175,1.10341,0.69421,1.29817,0.000996097,0.000996097,0.000996097
6,5937.32,1.37274,0.6714,1.06255,0.93514,0.88285,0.92715,0.67376,1.00904,0.56975,1.22882,0.000993906,0.000993906,0.000993906
7,6753.57,1.34403,0.64829,1.05191,0.96962,0.88668,0.93678,0.69327,0.94644,0.56562,1.19914,0.000991232,0.000991232,0.000991232
8,7634.54,1.31804,0.62828,1.0414,0.95999,0.87279,0.93366,0.69248,0.96417,0.55116,1.18257,0.000988079,0.000988079,0.000988079
9,8650.06,1.30601,0.61833,1.03513,0.96872,0.9066,0.94016,0.70413,0.95222,0.52118,1.20264,0.000984449,0.000984449,0.000984449
